NAME,TYPE,TEAM,URL,DESCRIPTION,OWNER,STATUS,LATEST STATUS UPDATE TITLE,LATEST STATUS UPDATE,POSTED BY,POSTED ON,OVERDUE TASKS,COMPLETED TASKS,INCOMPLETE TASKS,PROGRESS,START DATE,DUE DATE,CONNECTED GOALS,Prioridad,Condición de pago ,Incotems,Pais,fECHA PREVISTA DE SALIDA,Calendario Produccion
 50001557 - ATACAMA KOZAN,Project,,https://app.asana.com/1/402967058777498/project/1215137857526520,,Francisca Alejandra Ramos Aravales,On track, 50001557 - ATACAMA KOZAN - OT 4340 - 27 mayo,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-27,0,8,3,73%,2026-06-16,2026-06-16,,Alta,30 dias,,Chile,,
50001557 - ATACAMA KOZAN,Project,,https://app.asana.com/1/402967058777498/project/1215139673478155,,Francisca Alejandra Ramos Aravales,On track,50001557 - ATACAMA KOZAN  - 27 mayo,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-27,0,9,4,69%,2026-06-16,2026-06-16,,Alta,30 dias,,Chile,,
50001554 - MAPIMI,Project,,https://app.asana.com/1/402967058777498/project/1215118022011721,,Francisca Alejandra Ramos Aravales,On track,50001554 - MAPIM - mayo 25,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-25,0,4,10,29%,2026-08-05,2026-08-05,,Baja,30 dias,,Mexico,,
 50001553- ZITRON COLOMBIA ARIS MINING SEGOVIA - OT4326,Project,,https://app.asana.com/1/402967058777498/project/1214969047721199,,Carlos Pérez,On track, 50001553- ZITRON COLOMBIA ARIS MINING SEGOVIA - OT4326 - mayo 25,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-25,0,4,7,36%,2026-06-23,2026-06-23,,Media,30 dias,,Colombia,,
50001553- ZITRON COLOMBIA ARIS MINING SEGOVIA - OT4327,Project,,https://app.asana.com/1/402967058777498/project/1214969047720950,,Carlos Pérez,On track,50001553- ZITRON COLOMBIA ARIS MINING SEGOVIA - OT4327 - 20 mayo,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-20,0,4,7,36%,2026-08-15,2026-08-15,,Media,30 dias,,Colombia,,
50001553- ZITRON COLOMBIA ARIS MINING SEGOVIA - OT 4324 4325 ,Project,,https://app.asana.com/1/402967058777498/project/1214969284200793,,Carlos Pérez,On track,50001553- ZITRON COLOMBIA ARIS MINING SEGOVIA - OT 4323 4325  - 20 mayo,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-20,0,4,7,36%,2026-06-23,2026-06-23,,Media,30 dias,,Colombia,,
"50001555 - ""ZITRON COLOMBIA ARIS MINING SEGOVIA""",Project,,https://app.asana.com/1/402967058777498/project/1214922603742599,,Carlos Pérez,On track,"50001555 - ""ZITRON COLOMBIA ARIS MINING SEGOVIA"" - 19 mayo",Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-19,0,3,8,27%,2026-08-03,2026-08-03,,Baja,,,Colombia,,
 50001544 - DMC MINING SERVICES ,Project,,https://app.asana.com/1/402967058777498/project/1214892476594825,,Francisca Alejandra Ramos Aravales,On track, 50001544 - DMC MINNING SERVICES  - mayo 19,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-19,0,8,5,62%,2026-08-15,2026-08-15,,Alta,,,Chile,,
50001547 - XEMORTIZ (AMERICAS GOLD),Project,,https://app.asana.com/1/402967058777498/project/1214787972061369,,Francisca Alejandra Ramos Aravales,On track,"50001547 -  OT 4317 ZVN 1-16-126/4 -""XEMORTIZ (AMERICAS GOLD)"" - 14 mayo",Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-14,0,6,5,55%,2026-07-13,2026-07-13,,Alta,,,Mexico,,
50001546 - XEMORTIZ,Project,,https://app.asana.com/1/402967058777498/project/1214739697907723,"    Fabricación / Planos: ·         O/4316 - Ventilador ZVN 1-9-25/4 con motor por definir. ·         Alcance: Carcasa       Selección de Rodete:         Rodete de placas s/plano 4999.00         Alabe s/ plano 4999.01         Z8 N590         Código 300000         hgutierrez@zitron.com, tu apoyo con la definición de calaje.       Tratamiento superficial estándar Zitron:         Preparación de superficie: Arenado SSPC-SP10         1ª capa imprimación 60 micras Hempadur 15570 Color 12430         2ª capa intermedia 40 micras Hempathane HS 55610 Color 20450 RAL 9001 Blanco.       Datos eléctricos motor: ·         Motor 25 kW, 460V, 2 Polos, IE3, 60HZ ·         Frame por definir       Fecha de entrega: 22-06-2026 ",Francisca Alejandra Ramos Aravales,On track,50001546 - OT4316  ZVN 1-9-25/4 - XEMORTIZ - 13 mayo,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-13,0,4,7,36%,2026-07-07,2026-07-07,,Alta,,,Mexico,,
50001545 - XEMORTIZ MINERA FRISCO,Project,,https://app.asana.com/1/402967058777498/project/1214563704105168,"Para el pedido 1545 se tiene 4 ventiladores ZVN 1-9-63/2 para Xemortiz (Minera Frisco):         Fabricación / Planos: ·         O/4315 - Ventilador ZVN 1-9-63/2 con motor OMEC ·         Alcance: Carcasa ·         Referencia: 300000-225       Selección de Rodete:         Rodete de placas s/plano 4999.00         Alabe s/ plano 4999.01         Z8 N590         Código 300000         hgutierrez@zitron.com, tu apoyo con la definición de calaje.       Tratamiento superficial estándar Zitron:         Preparación de superficie: Arenado SSPC-SP10         1ª capa imprimación 60 micras Hempadur 15570 Color 12430         2ª capa intermedia 40 micras Hempathane HS 55610 Color 20450 RAL 9001 Blanco.       Datos eléctricos motor: ·         Motor OMEC 63 kW, 460V, 2 Polos, IE3, 60HZ ·         Frame 225 ·         Código: 350007 ·         Se requiere duplicado de placas. ·         Se adjunta plano motor.       Fecha de entrega: 22-04-2026 ",Francisca Alejandra Ramos Aravales,On track,"50001545 - ot 4315 ZVN 1-9-63/2 - ""XEMORTIZ MINERA FRISCO""   - 13 mayo",Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-13,0,4,7,36%,2026-07-10,2026-07-10,,Alta,,,Mexico,,
50001543 - ZITRON COLOMBIA EGM,Project,,https://app.asana.com/1/402967058777498/project/1214508463084754,,Carlos Pérez,On track,50001543 - OT 4309 ZVN 1-9-75/2 - 5 mayo,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-05-06,0,8,3,73%,2026-07-24,2026-07-24,,Media,,,Colombia,,
50001525- ZITRON PERU METRO DE LIMA  ESTACION 07,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213832650589314,,DAVID BLAZQUEZ,On track,"50001525-OT 4287 ZVR 1-14-42/4//OT4288 ZVR1-14-30/4// OT4289 ATENES 3,95X3,97X1,5M//OT 4290- TABLERO VDF ABB ACS880-17-OT4291-TABLERO PLC OT 4292-TABLERO BT- OT4293 - COMPONENTES TABLEROS CO- - 23 abr",Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-23,0,2,12,14%,2026-07-16,2026-07-16,,Alta,,,Peru,,
50001534-ZITRON PERU METRO DE LIMA (E04-05 06-R4),Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213881596172396,,DAVID BLAZQUEZ,On track,"50001534-OT 4294 ZVR 1-14-42/4/OT4296 ZVR-14-34/4/OT OT4295 ATENES 3,95X3,97X1,5M//OT 4298- TABLERO VDF ABB ACS880-17-OT4299-TABLERO PLC OT 4300-TABLERO BT- OT4301 - COMPONENTES TABLEROS OT 4297 ZVR  - 23 abr",Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-23,0,4,10,29%,2026-08-03,2026-08-03,,Baja,,,Peru,,
50001541 -  XEMORTIZ MINERA FRISCO,Project,,https://app.asana.com/1/402967058777498/project/1214137717389412,,Francisca Alejandra Ramos Aravales,On track,50001541- OT 4232 ZVN 1-9-86/2 XEMORTIZ MINERA FRISCO - 21 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-21,0,6,5,55%,2026-07-15,2026-07-15,,Alta,30 dias,,Mexico,,
50001532 - XEMORTIZ AMERICAS GOLD ,Project,,https://app.asana.com/1/402967058777498/project/1213963037596622,Se fabricarán  ZVR 1-14-42/4 en cantidad de 5 unidades.La fecha de entrega comprometida a entrega al cliente es el  22/04/2026 El cliente asignado es “XEMORTIZ AMERICAS GOLD),Francisca Alejandra Ramos Aravales,On track,50001532- OT 4280 ZVN 1-9-63/2  - XEMORTIZ AMERICAS GOLD  - 22 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-22,0,7,4,64%,2026-06-22,2026-06-22,,Alta,,,Mexico,,
 50001466 - ZITRON PERU (PODEROSA) ,Project,,https://app.asana.com/1/402967058777498/project/1213997266064436,"Para el pedido 1466 se deben suministrar 5 unidades ZVN 1-10-126/2 para Zitron Perú (Cía. Minera Poderosa):       Fabricación / Planos: ·         O/4302; Ventilador ZVN 1-10-126/2 con motor WEG. ·         Alcance: Tobera + Rejilla + Carcasa       Selección de Rodete:         Rodete de placas s/plano 3073.00         Alabe s/ plano 3073.01         Z8 N600         Código 300003         hernan, tu apoyo con la definición de calaje.       Tratamiento superficial estándar Zitron:         Preparación de superficie: Arenado SSPC-SP10         1ª capa imprimación 60 micras Hempadur 15570 Color 12430         2ª capa intermedia 40 micras Hempathane HS 55610 Color 20450 RAL 9001 Blanco.       Datos eléctricos motor: ·         Motor WEG 90 kW; 2 Polos; IE3 ·         Frame 280 ·         460V, 60HZ ·         OC19034: 23-04-2026 ·         Se requiere duplicado de placas.       Fecha de entrega: 30-04-2026  ",Francisca Alejandra Ramos Aravales,On track, 50001466- OT 4302 TOB+REJ+ZVN 1-10-26/2  - 23 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-23,0,10,1,91%,2026-05-25,2026-05-25,,Alta,,,Peru,,
50001485-CALABRESSE METRO STO DOMINGO  ,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213377149548665,"Se fabricarán los conjuntos correspondientes a los ítems 4183 y 4184, compuestos por ZVN 1‑12‑34.5/6 en cantidad de 2 unidades y TABLERO VDF + PLC en cantidad de 2 unidades. La fecha de entrega comprometida para todos los componentes es el 21/04/2026. El cliente asignado es “CALABRESSE – METRO STO DOMINGO – ESTACIONES”.",Carlos Pérez,On track,50001485-OT4183 ZVN 1-12-34.5/6-OT4184 TABLERO VDF + PLC-CALABRESSE - 23 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-23,0,9,5,64%,2026-06-19,2026-06-19,,Alta,,,Republica dominicana ,,
50001498-CALABRESSE METRO STO DOMINGO  POZOS  ,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213377149548798,"Se fabricarán los conjuntos correspondientes a los ítems 4200 y 4201, compuestos por ZVN 1‑18‑63/8 en cantidad de 2 unidades y TABLERO VDF + PLC en cantidad de 2 unidades. La fecha de entrega comprometida para todos los componentes es el 07/05/2026. El cliente asignado es “CALABRESSE – METRO STO DOMINGO – POZOS”.",Carlos Pérez,On track,50001498-OT4200 ZVN 1-18-63/8-OT4201 TABLERO VDF + PLC-CALABRESSE - 23 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-23,0,7,6,54%,2026-06-22,2026-06-22,,Alta,50% Anticipo // 50% previo a salida,EXW,Republica dominicana ,,
50001477- TRITON MINERA,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213377149548590,"Se fabricarán los conjuntos correspondientes a los ítems 4167, 4168 y 4169, compuestos por ZVNv 1‑22‑575/6 en cantidad de 1 unidad, VDF MT 575 kW en cantidad de 1 unidad y TABLERO PLC en cantidad de 1 unidad. La fecha de entrega comprometida para todos los componentes es el 10/04/2026. El cliente asignado es TRITON MINERA.",Carlos Pérez,On track,50001477-OT4167 ZVNv 1-22-575/6-OT VDF MT 575 KW-OT4169 TABLERO PLC- TRITON MINERA - 23 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-23,0,11,2,85%,2026-04-10,2026-04-10,,Alta,Contado,,Nicaragua,2026-05-12,
50001490-ZITRON PERU METRO DE LIMA PV04-PV05 ,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213377149548731,"Se fabricarán los conjuntos correspondientes a los ítems 4204 al 4211, compuestos por: ZVR‑1‑22‑90/6, ZVRv 1‑22‑90/6, TABLERO VDF 90 kW, TABLERO PLC, BOTONERA, TABLERO COMPUERTAS, DAMPER INOX 2.8 x 1.4 y ATENUADORES. La fecha de entrega comprometida a transporte es el 20/04/2026 y la fecha de entrega al cliente es el 05/05/2026. El cliente asignado es “ZITRON PERU – METRO DE LIMA – PV04‑PV05”.",DAVID BLAZQUEZ,On track,50001490-OT4204 ZVR-1-22-90/6-OT4205 ZVRv 1-22-90/6-OT4206 TABLERO VDF 90 KW-OT4207 TABLERO PLC-OT4208 BOTONERA-OT4209 TABLERO COMPUERTAS-OT4210 DAMPER INOX 2.8X1.4-OT4211 ATENUADORES-ZITRON PERU - 23 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-23,0,3,9,25%,2026-06-25,2026-06-25,,Alta,30 dias,CIF,Peru,,
 50001504 - ZITRON PERU CODESTABLE,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213400421980747,Se fabricarán los conjuntos compuestos por ZVN 2‑9‑110/2 en cantidad de 3 unidades. La fecha de entrega comprometida a transporte es el 14/04/2026 y la fecha de entrega al cliente es el 28/04/2026. El cliente asignado es “ZITRON PERU – CODESTABLE”.,Francisca Alejandra Ramos Aravales,On track, 50001504-OT4219 ZVN 2-9-110/2 ZITRON PERU - 23 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-23,0,10,1,91%,2026-04-14,2026-04-14,,Alta,,CIF,Peru,,
50001504 - ZITRON PERU CODESTABLE,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213377149548924,Se fabricarán los conjuntos compuestos por ZVN 1‑16‑330/4 en cantidad de 4 unidades. La fecha de entrega comprometida a transporte es el 14/04/2026 y la fecha de entrega al cliente es el 28/04/2026. El cliente asignado es “ZITRON PERU – CODESTABLE”.,Francisca Alejandra Ramos Aravales,On track,50001504-OT4220 ZVN 1-16-330/4-ZITRON PERU - 23 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-23,0,10,1,91%,2026-04-14,2026-04-14,,Alta,30 dias,CIF,Peru,,
50001415-ZITRON PERU METRO DE LIMA  E05,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213391072478428,"Se fabricarán los conjuntos correspondientes a los ítems 4113 al 4118, compuestos por: ZVR 1‑14‑75/4 en cantidad de 1 unidad, ZVR 1‑14‑42/4 en cantidad de 1 unidad, Atenuadores 3.55 x 3.55 x 2.50 en cantidad de 4 unidades, TABLERO VDF en cantidad de 2 unidades, Botonera en cantidad de 2 unidades y TABLERO PLC en cantidad de 1 unidad. La fecha de entrega comprometida a transporte es el 16/03/2026 y la fecha de entrega al cliente es el 26/03/2026. El cliente asignado es “ZITRON PERU – METRO DE LIMA – E05”.",DAVID BLAZQUEZ,On track,50001415-OT4113 ZVR 1-14-75/4-OT4114 ZVR 1-14-42/4-OT - 23 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-23,0,10,2,83%,2026-03-16,2026-03-16,,Alta,30 dias,,Peru,,
50001506 - ZCO EPM FRIO AIRE,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213244147627519,El proyecto corresponde al cliente “Zitron Colombia – EPM Frio Aire” y considera la fabricación de los siguientes componentes: la orden de trabajo 4221 contempla dos unidades del ventilador ZVN 1‑16‑152/4; la orden de trabajo 4222 corresponde a la fabricación de dos tableros VDF; y la orden de trabajo 4223 corresponde a la fabricación de un tablero PLC. La fecha comprometida de entrega al transporte es el 10‑04‑2026 y la entrega final al cliente está programada para el 01‑05‑2026.,Francisca Alejandra Ramos Aravales,On track,50001506 - ZCO EPM FRIO AIRE - 20 jul,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-07-20,0,7,6,54%,2026-07-15,2026-07-15,,Alta,30 dias,,Colombia,,
50001309 - ZITRON COLOMBIA BUGA BUENAVENTURA,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213377149548388,Se fabricarán los conjuntos compuestos por JZRi 10‑55/4 en cantidad de 12 unidades y JZRi 10‑55/4 en cantidad de 12 unidades. La fecha de entrega comprometida para todos los componentes es el 23/02/2026. El cliente asignado es “ZITRON COLOMBIA – BUGA‑BUENAVENTURA”.,Francisca Alejandra Ramos Aravales,On track,50001309 - ZITRON COLOMBIA BUGA BUENAVENTURA - 20 jul,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-07-20,0,4,7,36%,2026-05-26,2026-05-26,,Alta,30 dias,CIF CONTENEDOR 40HC,Colombia,,
50001451 - ZITRON COLOMBIA,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213391072478496,"Se fabricarán los conjuntos compuestos por ZVN 1‑25‑630/6 en cantidad de 2 unidades, ZVN 1‑20‑220/6 en cantidad de 1 unidad, ZVN 1‑20‑200/6 en cantidad de 1 unidad, VDF 630 kW en cantidad de 2 unidades, VDF 220 kW en cantidad de 1 unidad, VDF 200 kW en cantidad de 1 unidad, un PLC para 2 FAN en cantidad de 1 unidad y PLC para 1 FAN en cantidad de 2 unidades. La fecha de entrega comprometida para todos los componentes es el 02/03/2026. El cliente asignado es “ZITRON COLOMBIA – ARIS MARMATO”.",Francisca Alejandra Ramos Aravales,On track,50001451 - ZITRON COLOMBIA - 20 jul,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-07-20,0,10,2,83%,,2026-03-02,,Alta,30 dias,CIF CONTENEDOR 40 HC,Colombia,,
50001500 - EQ .MIN  LA HACIENDA ,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213234368822465,El proyecto considera la fabricación de ZVN 1‑9‑63/2 según orden de trabajo 4212 y de tableros SS según orden de trabajo 4214. Se requiere producir cuatro unidades de cada uno de los componentes. El cliente correspondiente es EQ. Min La Hacienda y la fecha comprometida de entrega al cliente es el 14‑02‑2026.,Francisca Alejandra Ramos Aravales,On track,50001500- OT 4212 ZVN 1-9-63/2 - OT 4214  TABLERO SS EQ. MIN  LA HACIENDA  - 22 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-22,0,11,2,85%,2026-02-14,2026-02-14,,Alta,Pago contado contra aviso retiro,FCA,Mexico,,
50001497 - XEMORTIZ IMMSA STA. BBR  ,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213193352022841,"El proyecto considera la fabricación de los siguientes componentes: una unidad del modelo ZVN 1‑23‑600/6 según orden de trabajo 4196, una unidad de tablero VDF según orden de trabajo 4197 y una unidad de tablero PLC según orden de trabajo 4198. El cliente asociado es Xemortiz. La fecha de entrega comprometida al transporte es el 08/05/2026 y la entrega final al cliente está programada para el 02/06/2026. Se requieren un total de 25 unidades de cada uno de los tres componentes.",Francisca Alejandra Ramos Aravales,On track,50001497- OT4196 ZVN 1-23-600/6- OT4197 TABLERO VDF- OT4198 TABLERO PLC  XEMORTIZ - 22 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-22,0,6,7,46%,2026-06-22,2026-06-22,,Alta,30 dias,CIF,Mexico,,
50001499- EQ. CHAPARRAL,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213244147627934,"Se fabricarán los conjuntos compuestos por ZVN 1‑22‑400/6, ZVN 1‑22‑575/6, un TABLERO VDF de 400 kW, un TABLERO PLC – BT, un TABLERO VDF de 575 kW y un TABLERO PLC – MT. La fecha de entrega comprometida para todos los componentes es el 10/05/2026. El cliente asignado es EQ. CHAPARRAL.",Carlos Pérez,On track,50001499- OT4202 ZVN 1-22-400/6-OT4203 ZVN 1-22-575/6- OT4217 TABLERO VDF 400 KW- OT4218 TABLERO PLC - BT - OT4226 TABLERO VDF 575 KW- OT4227 TABLERO PLC - MT   - 22 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-22,0,5,8,38%,,2026-07-02,,Alta,Pago contado contra aviso retiro,FCA,Mexico,,
50001508 - XEMORTIZ STOCK,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213362937195444,Se fabricarán los conjuntos compuestos por ZVN 1‑6‑25/2 en cantidad de 4 unidades y ZVN 1‑7‑42/2 en cantidad de 4 unidades. La fecha de entrega comprometida a transporte es el 16/02/2026 y la fecha de entrega al cliente es el 08/03/2026. El cliente asignado es “XEMORTIZ STOCK”.,Francisca Alejandra Ramos Aravales,On track,50001508- OT 4232 ZVN 1-6-25/2- OT 4233 ZVN 1-7-42/2 - XEMORTIZ - 22 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-22,0,9,2,82%,2026-06-18,2026-06-18,,Alta,30 dias,,Mexico,,
50001473 - MAPIMI,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213377149548525,Se fabricarán los conjuntos compuestos por ZVN 2‑9‑126/2 en cantidad de 3 unidades y TABLERO SS 126 kW en cantidad de 3 unidades. La fecha de entrega comprometida a transporte es el 27/02/2026 y la fecha de entrega al cliente es el 04/03/2026. El cliente asignado es MAPIMI.,Francisca Alejandra Ramos Aravales,On track,50001473-OT4164-ZVN 2-9-126/2-OT4165-TABLERO SS 126 KW-MAPIMI - 22 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-22,0,9,4,69%,2026-06-22,2026-06-22,,Alta,15 dias contra entrega,FCA ZITRON CHILE,Mexico,,
50001501 - EQ. MIN. LA HACIENDA,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213377149548860,Se fabricará el conjunto compuesto por ZVN 1‑9‑86/2 y TABLERO SS en cantidad de 12 unidades. La fecha de entrega comprometida para todos los componentes es el 14/02/2026. El cliente asignado es EQ. MIN. LA HACIENDA.,Francisca Alejandra Ramos Aravales,On track,50001501-OT4213 ZVN 1-9-86/2- OT4215 TABLERO SS-EQ. MIN. LA HACIENDA - 22 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-22,0,11,2,85%,2026-02-14,2026-02-14,,Alta,Pago contado contra aviso retiro,FCA,Mexico,,
50001446-MINERA FRESNILLO,Project,Zitron Chile v1,https://app.asana.com/1/402967058777498/project/1213377149548988,"Se fabricará el conjunto compuesto por ZVNv 1‑22‑408/6 en cantidad de 1 unidad, VDF FC102 en cantidad de 1 unidad y un TABLERO PLC en cantidad de 1 unidad. La fecha de entrega comprometida para todos los componentes es el 21/04/2026. El cliente asignado es MINERA FRESNILLO.",Carlos Pérez,On track,50001446-OT4067 ZVNv 1-22-408/6-OT4068 VDF FC102-OT4069 TABLERO PLC-MINERA FRESNILLO - 22 abr,Resumen    ----------------------------------------  Próximos pasos    ---------------------------------------- ,Nicolás,2026-04-22,0,10,3,77%,2026-06-19,2026-06-19,,Alta,15 dias contra entrega,,Mexico,,
